날짜,상품명,바코드,발주가능상태,입고수량,카테고리,출고수량
2019-05-16,V2_86,18801046294762,발주가능,1200,세탁세제,218
2019-05-16,V2_88,8801046280799,발주가능,0,헤어케어,0
2019-05-16,V2_91,8801046287743,발주가능,0,덴탈케어,1
2019-05-16,V2_92,8801046288207,발주가능,0,덴탈케어,0
2019-05-16,V2_93,8801046294048,발주가능,774,덴탈케어,8
2019-05-16,V2_95,8801046275566,발주가능,0,주방세제,0
2019-05-16,V2_96,8801046263129,발주가능,36,주방세제,43
2019-05-16,V2_101,8801046293768,발주가능,0,F&B,0
2019-05-16,V2_103,8801046296837,발주가능,3123,덴탈케어,74
2019-05-16,V2_104,8801046291252,발주가능,8,세탁세제,15
2019-05-16,V2_105,8801046291245,발주가능,90,세탁세제,14
2019-05-16,V2_108,8801046298640,발주가능,0,세탁세제,2
2019-05-16,V2_111,8801046297636,발주가능,0,헤어케어,0
2019-05-16,V2_112,8801046297711,발주가능,0,헤어케어,0
2019-05-16,V2_113,8801046299302,발주가능,0,F&B,0
2019-05-16,V2_114,8801046299715,발주가능,30,헤어케어,7
2019-05-16,V2_121,8801046298473,발주가능,9,덴탈케어,13
2019-05-16,V2_125,8801046290194,발주가능,0,덴탈케어,0
2019-05-16,V2_127,8801046295656,발주가능,0,세탁세제,0
2019-05-16,V2_129,8801046300541,발주가능,0,덴탈케어,69
2019-05-16,V2_130,6414100895802,발주가능,0,매입브랜드,4
2019-05-16,V2_131,6414100895857,발주가능,0,매입브랜드,4
2019-05-16,V2_133,8801046303207,발주가능,2340,주방세제,8
2019-05-16,V2_134,8801046979143,발주가능,400,주방세제,21
2019-05-16,V2_135,8801046303214,발주가능,440,주방세제,11
2019-05-16,V2_136,8801046303191,발주가능,0,주방세제,31
2019-05-16,V2_138,8801046280522,발주가능,0,세탁세제,0
2019-05-16,V2_139,8801046291511,발주가능,0,ST,0
2019-05-16,V2_143,8801046303504,발주가능,0,ST,2
2019-05-16,V2_145,8801046286234,발주가능,0,세탁세제,4
2019-05-16,V2_146,8801046283288,발주가능,480,세탁세제,27
2019-05-16,V2_150,8801046301166,발주가능,344,덴탈케어,18
2019-05-16,V2_151,8801046309049,발주가능,0,세탁세제,3
2019-05-16,V2_154,8801046311493,발주가능,0,덴탈케어,37
2019-05-16,V2_157,8801046307458,발주가능,0,F&B,24
2019-05-16,V2_162,28801046261259,발주가능,270,덴탈케어,3
2019-05-16,V2_164,28801046261266,발주가능,0,덴탈케어,1
2019-05-16,V2_170,8801046314791,발주가능,0,ST,0
2019-05-16,V2_172,8801046314777,발주가능,0,ST,0
2019-05-16,V2_178,8801046304822,발주가능,0,덴탈케어,0
2019-05-16,V2_179,6414100700953,발주가능,0,매입브랜드,1
2019-05-16,V2_180,8801046316221,발주가능,0,세탁세제,2
2019-05-16,V2_181,8801046310373,발주가능,0,덴탈케어,0
2019-05-16,V2_188,8801046316283,발주가능,0,F&B,1
2019-05-16,V2_193,8801046316719,발주가능,0,헤어케어,2
2019-05-16,V2_196,8801046316634,발주가능,0,헤어케어,1
2019-05-16,V2_198,8801046314241,발주가능,0,ST,1
2019-05-16,V2_199,8801046314234,발주가능,0,ST,2
2019-05-16,V2_203,8801046318386,발주가능,0,F&B,0
2019-05-16,V2_204,8801046273272,발주가능,0,F&B,0
2019-05-16,V2_205,8801046318393,발주가능,0,F&B,0
2019-05-16,V2_206,8801046318263,발주가능,0,세탁세제,3
2019-05-16,V2_207,8801046316986,발주가능,0,세탁세제,1
2019-05-16,V2_209,8801046322925,발주가능,0,덴탈케어,0
2019-05-16,V2_211,8801046324332,발주가능,0,덴탈케어,0
2019-05-16,V2_212,8801046319253,발주가능,40,덴탈케어,5
2019-05-16,V2_215,8801046321591,발주가능,100,헤어케어,1
2019-05-16,V2_216,8801046318621,발주가능,0,헤어케어,0
2019-05-16,V2_218,8801046321621,발주가능,0,헤어케어,1
2019-05-16,V2_224,8801046320969,발주가능,0,세탁세제,0
2019-05-16,V2_227,8801046323717,발주가능,0,헤어케어,0
2019-05-16,V2_229,8801046318997,발주가능,0,주방세제,1
2019-05-16,V2_230,8801046319956,발주가능,0,주방세제,1
2019-05-16,V2_235,8801046316757,발주가능,0,덴탈케어,0
2019-05-16,V2_236,8801046316764,발주가능,12,덴탈케어,3
2019-05-16,V2_237,8801046312698,발주가능,0,덴탈케어,0
2019-05-16,V2_239,8801046872765,발주가능,0,세탁세제,1
2019-05-16,V2_242,8801046321058,발주가능,0,덴탈케어,0
2019-05-16,V2_245,8801046325568,발주가능,0,F&B,0
2019-05-16,V2_248,8801046316450,발주가능,0,덴탈케어,0
2019-05-16,V2_250,18801046326234,발주가능,0,F&B,0
2019-05-16,V2_251,18801046326227,발주가능,0,F&B,0
2019-05-16,V2_254,8801046323205,발주가능,0,ST,0
2019-05-16,V2_256,8801046322581,발주가능,0,ST,0
2019-05-16,V2_258,8801046304945,발주가능,0,ST,0
2019-05-16,V2_262,8801046304969,발주가능,0,ST,0
2019-05-16,V2_265,18801046870089,발주가능,0,F&B,0
2019-05-16,V2_266,18801046259877,발주가능,0,F&B,0
2019-05-16,V2_270,8801046318706,발주가능,0,세탁세제,18
2019-05-16,V2_271,8801046320884,발주가능,0,세탁세제,10
2019-05-16,V2_273,18801046872748,발주가능,0,세탁세제,1
2019-05-16,V2_274,18801046902117,발주가능,80,헤어케어,0
2019-05-16,V2_278,18801046247737,발주가능,4,세탁세제,1
2019-05-16,V2_279,18801046872762,발주가능,0,세탁세제,1
2019-05-16,V2_280,18801046289232,발주가능,0,주방세제,0
2019-05-16,V2_286,18801046294038,발주가능,0,덴탈케어,0
2019-05-16,V2_288,18801046296834,발주가능,0,덴탈케어,0
2019-05-16,V2_289,18801046294021,발주가능,0,덴탈케어,0
2019-05-16,V2_290,18801046298470,발주가능,0,덴탈케어,0
2019-05-16,V2_291,18801046318932,발주가능,0,주방세제,0
2019-05-16,V2_293,18801046318963,발주가능,0,주방세제,0
2019-05-16,V2_295,18801046283285,발주가능,0,세탁세제,0
2019-05-16,V2_296,18801046287245,발주가능,0,세탁세제,0
2019-05-16,V2_303,18801046979508,발주가능,0,주방세제,1
2019-05-16,V2_305,18801046892913,발주가능,0,주방세제,0
2019-05-16,V2_307,18801046290528,발주가능,0,주방세제,0
2019-05-16,V2_315,18801046878948,발주가능,0,세탁세제,0
2019-05-16,V2_317,18801046309046,발주가능,0,세탁세제,0
2019-05-16,V2_321,18801046286231,발주가능,0,세탁세제,0
2019-05-16,V2_324,18801046303754,발주가능,0,주방세제,0
2019-05-16,V2_326,18801046303228,발주가능,0,주방세제,0
2019-05-16,V2_328,18801046979140,발주가능,0,주방세제,0
2019-05-16,V2_330,18801046314798,발주가능,0,ST,0
2019-05-16,V2_332,18801046314859,발주가능,0,ST,0
2019-05-16,V2_337,18801046314828,발주가능,0,ST,0
2019-05-16,V2_338,18801046314224,발주가능,0,ST,0
2019-05-16,V2_343,18801046308575,발주가능,0,세탁세제,0
2019-05-16,V2_345,18801046291242,발주가능,0,세탁세제,0
2019-05-16,V2_351,18801046318260,발주가능,0,세탁세제,0
2019-05-16,V2_352,18801046319335,발주가능,0,세탁세제,0
2019-05-16,V2_353,18801046316990,발주가능,0,세탁세제,0
2019-05-16,V2_357,18801046316211,발주가능,0,세탁세제,0
2019-05-16,V2_359,18801046319267,발주가능,0,덴탈케어,0
2019-05-16,V2_363,18801046275730,발주가능,0,덴탈케어,0
2019-05-16,V2_364,18801046255060,발주가능,0,덴탈케어,1
2019-05-16,V2_365,18801046301163,발주가능,0,덴탈케어,0
2019-05-16,V2_366,18801046290191,발주가능,0,덴탈케어,0
2019-05-16,V2_368,18801046310387,발주가능,0,덴탈케어,0
2019-05-16,V2_369,18801046304850,발주가능,0,덴탈케어,0
2019-05-16,V2_370,18801046319250,발주가능,0,덴탈케어,0
2019-05-16,V2_376,18801046291525,발주가능,0,ST,0
2019-05-16,V2_377,18801046291518,발주가능,0,ST,0
2019-05-16,V2_378,18801046314248,발주가능,0,ST,0
2019-05-16,V2_382,18801046903381,발주가능,0,ST,0
2019-05-16,V2_383,18801046291587,발주가능,0,ST,0
2019-05-16,V2_385,18801046291549,발주가능,0,ST,0
2019-05-16,V2_388,18801046903398,발주가능,0,ST,0
2019-05-16,V2_390,18801046316228,발주가능,0,세탁세제,0
2019-05-16,V2_393,18801046267780,발주가능,0,덴탈케어,0
2019-05-16,V2_396,18801046324339,발주가능,0,덴탈케어,0
2019-05-16,V2_398,18801046322915,발주가능,0,덴탈케어,0
2019-05-16,V2_408,18801046321628,발주가능,0,헤어케어,0
2019-05-16,V2_409,18801046316662,발주가능,0,헤어케어,0
2019-05-16,V2_411,18801046902094,발주가능,0,헤어케어,0
2019-05-16,V2_414,18801046318437,발주가능,0,헤어케어,0
2019-05-16,V2_419,18801046299767,발주가능,0,헤어케어,0
2019-05-16,V2_420,18801046299682,발주가능,0,헤어케어,0
2019-05-16,V2_422,18801046318628,발주가능,0,헤어케어,0
2019-05-16,V2_426,18801046303495,발주가능,0,ST,0
2019-05-16,V2_427,18801046868727,발주가능,0,ST,0
2019-05-16,V2_428,18801046303518,발주가능,0,ST,0
2019-05-16,V2_430,18801046303501,발주가능,0,ST,0
2019-05-16,V2_432,18801046261252,발주가능,0,덴탈케어,0
2019-05-16,V2_433,18801046284497,발주가능,0,덴탈케어,0
2019-05-16,V2_436,18801046287696,발주가능,0,덴탈케어,0
2019-05-16,V2_437,18801046261245,발주가능,0,덴탈케어,0
2019-05-16,V2_438,18801046261283,발주가능,0,덴탈케어,0
2019-05-16,V2_439,18801046298487,발주가능,0,덴탈케어,0
2019-05-16,V2_440,18801046979539,발주가능,0,주방세제,4
2019-05-16,V2_442,18801046997632,발주가능,0,세탁세제,2
2019-05-16,V2_443,18801046253776,발주가능,0,세탁세제,2
2019-05-16,V2_444,18801046321598,발주가능,0,헤어케어,0
2019-05-16,V2_453,18801046321604,발주가능,0,헤어케어,0
2019-05-16,V2_458,8801046979549,발주가능,0,주방세제,6
2019-05-16,V2_459,8801046316207,발주가능,0,세탁세제,0
2019-05-16,V2_460,8801046331439,발주가능,0,매입브랜드,0
2019-05-16,V2_462,8801046311042,발주가능,0,헤어케어,0
2019-05-16,V2_464,8801046321164,발주가능,0,덴탈케어,0
2019-05-16,V2_468,28801046319066,발주가능,0,덴탈케어,0
2019-05-16,V2_470,18801046335212,발주가능,0,주방세제,0
2019-05-17,V2_1,8801046893128,발주가능,0,세탁세제,47
2019-05-17,V2_3,8801046878941,발주가능,0,세탁세제,4
2019-05-17,V2_6,8801046992739,발주가능,0,헤어케어,42
2019-05-17,V2_9,8801046247754,발주가능,0,세탁세제,8
2019-05-17,V2_10,8801046878996,발주가능,144,세탁세제,62
2019-05-17,V2_12,8801046246559,발주가능,0,세탁세제,0
2019-05-17,V2_13,8801046245118,발주가능,0,세탁세제,0
2019-05-17,V2_18,8801046240540,발주가능,160,헤어케어,11
2019-05-17,V2_19,8801046245309,발주가능,810,헤어케어,11
2019-05-17,V2_23,8801046253779,발주가능,0,세탁세제,13
2019-05-17,V2_24,8801046879047,발주가능,72,세탁세제,27
2019-05-17,V2_26,8801046879061,발주가능,0,세탁세제,6
2019-05-17,V2_27,8801046879078,발주가능,0,세탁세제,10
2019-05-17,V2_32,8801046255575,발주가능,114,세탁세제,17
2019-05-17,V2_34,8801046900680,발주가능,0,헤어케어,0
2019-05-17,V2_39,8801046902103,발주가능,0,헤어케어,37
2019-05-17,V2_41,8801046900635,발주가능,288,헤어케어,9
2019-05-17,V2_44,8801046903384,발주가능,0,ST,0
2019-05-17,V2_45,8801046903391,발주가능,0,ST,1
2019-05-17,V2_47,8801046862421,발주가능,128,F&B,6
2019-05-17,V2_52,8801046870112,발주가능,240,F&B,7
2019-05-17,V2_58,8801046259870,발주가능,0,F&B,3
2019-05-17,V2_59,8801046259863,발주가능,248,F&B,15
2019-05-17,V2_60,18801046251529,발주가능,0,세탁세제,135
2019-05-17,V2_61,18801046260873,발주가능,0,세탁세제,1
2019-05-17,V2_68,8801046269367,발주가능,0,세탁세제,7
2019-05-17,V2_74,18801046247744,발주가능,0,세탁세제,51
2019-05-17,V2_75,18801046247751,발주가능,0,세탁세제,36
2019-05-17,V2_77,18801046255565,발주가능,0,세탁세제,3
2019-05-17,V2_79,18801046269364,발주가능,0,세탁세제,1
2019-05-17,V2_80,8801046256237,발주가능,280,헤어케어,30
2019-05-17,V2_81,8801046256206,발주가능,0,헤어케어,0
2019-05-17,V2_83,8801046294031,발주가능,0,덴탈케어,13
2019-05-17,V2_88,8801046280799,발주가능,0,헤어케어,0
2019-05-17,V2_89,8801046994399,발주가능,0,덴탈케어,0
2019-05-17,V2_90,8801046287699,발주가능,0,덴탈케어,0
2019-05-17,V2_91,8801046287743,발주가능,0,덴탈케어,1
2019-05-17,V2_92,8801046288207,발주가능,0,덴탈케어,0
2019-05-17,V2_95,8801046275566,발주가능,369,주방세제,0
2019-05-17,V2_96,8801046263129,발주가능,224,주방세제,41
2019-05-17,V2_97,8801046289235,발주가능,243,주방세제,35
2019-05-17,V2_99,8801046284759,발주가능,0,헤어케어,0
2019-05-17,V2_100,8801046293751,발주가능,0,F&B,1
2019-05-17,V2_101,8801046293768,발주가능,0,F&B,0
2019-05-17,V2_103,8801046296837,발주가능,45,덴탈케어,58
2019-05-17,V2_105,8801046291245,발주가능,132,세탁세제,13
2019-05-17,V2_106,8801046979501,발주가능,0,주방세제,3
2019-05-17,V2_110,18801046297503,발주가능,0,세탁세제,29
2019-05-17,V2_112,8801046297711,발주가능,0,헤어케어,0
2019-05-17,V2_113,8801046299302,발주가능,0,F&B,0
2019-05-17,V2_116,8801046299739,발주가능,0,헤어케어,0
2019-05-17,V2_117,8801046299760,발주가능,0,헤어케어,0
2019-05-17,V2_118,8801046299777,발주가능,0,헤어케어,0
2019-05-17,V2_120,8801046277898,발주가능,6,기타,3
2019-05-17,V2_122,8801046298480,발주가능,0,덴탈케어,7
2019-05-17,V2_123,8801046299364,발주가능,0,세탁세제,1
2019-05-17,V2_125,8801046290194,발주가능,0,덴탈케어,0
2019-05-17,V2_127,8801046295656,발주가능,0,세탁세제,0
2019-05-17,V2_128,8801046299357,발주가능,0,세탁세제,0
2019-05-17,V2_131,6414100895857,발주가능,0,매입브랜드,4
2019-05-17,V2_136,8801046303191,발주가능,0,주방세제,20
2019-05-17,V2_138,8801046280522,발주가능,0,세탁세제,0
2019-05-17,V2_139,8801046291511,발주가능,0,ST,0
2019-05-17,V2_141,8801046291573,발주가능,0,ST,0
2019-05-17,V2_145,8801046286234,발주가능,0,세탁세제,4
2019-05-17,V2_146,8801046283288,발주가능,72,세탁세제,24
2019-05-17,V2_155,8801046299876,발주가능,120,덴탈케어,9
2019-05-17,V2_157,8801046307458,발주가능,0,F&B,19
2019-05-17,V2_162,28801046261259,발주가능,528,덴탈케어,3
2019-05-17,V2_170,8801046314791,발주가능,0,ST,0
2019-05-17,V2_172,8801046314777,발주가능,0,ST,0
2019-05-17,V2_177,8801046304853,발주가능,0,덴탈케어,1
2019-05-17,V2_181,8801046310373,발주가능,0,덴탈케어,0
2019-05-17,V2_183,8801046288160,발주가능,0,덴탈케어,0
2019-05-17,V2_185,8801046299227,발주가능,0,덴탈케어,0
2019-05-17,V2_186,8801046316665,발주가능,0,헤어케어,4
2019-05-17,V2_189,8801046316795,발주가능,0,F&B,0
2019-05-17,V2_192,8801046318232,발주가능,0,세탁세제,1
2019-05-17,V2_195,8801046316573,발주가능,0,헤어케어,2
2019-05-17,V2_204,8801046273272,발주가능,0,F&B,0
2019-05-17,V2_206,8801046318263,발주가능,78,세탁세제,3
2019-05-17,V2_207,8801046316986,발주가능,0,세탁세제,2
2019-05-17,V2_208,8801046316993,발주가능,0,세탁세제,9
2019-05-17,V2_210,8801046319260,발주가능,0,덴탈케어,0
2019-05-17,V2_213,8801046321607,발주가능,0,헤어케어,0
2019-05-17,V2_220,8801046318430,발주가능,0,헤어케어,1
2019-05-17,V2_223,8801046318256,발주가능,0,세탁세제,0
2019-05-17,V2_227,8801046323717,발주가능,0,헤어케어,0
2019-05-17,V2_228,8801046323489,발주가능,0,헤어케어,0
2019-05-17,V2_233,8801046319949,발주가능,80,주방세제,0
2019-05-17,V2_234,8801046872758,발주가능,0,세탁세제,1
2019-05-17,V2_235,8801046316757,발주가능,0,덴탈케어,0
2019-05-17,V2_238,8801046872741,발주가능,0,세탁세제,1
2019-05-17,V2_239,8801046872765,발주가능,0,세탁세제,1
2019-05-17,V2_241,8801046319673,발주가능,0,덴탈케어,0
2019-05-17,V2_243,8801046324783,발주가능,0,F&B,9
2019-05-17,V2_245,8801046325568,발주가능,24,F&B,0
2019-05-17,V2_248,8801046316450,발주가능,0,덴탈케어,0
2019-05-17,V2_255,8801046322574,발주가능,0,ST,0
2019-05-17,V2_258,8801046304945,발주가능,0,ST,0
2019-05-17,V2_260,8801046323229,발주가능,0,ST,0
2019-05-17,V2_263,8801046325612,발주가능,0,F&B,16
2019-05-17,V2_265,18801046870089,발주가능,0,F&B,0
2019-05-17,V2_266,18801046259877,발주가능,0,F&B,0
2019-05-17,V2_273,18801046872748,발주가능,0,세탁세제,1
2019-05-17,V2_275,18801046900632,발주가능,0,헤어케어,0
2019-05-17,V2_276,18801046902100,발주가능,0,헤어케어,2
2019-05-17,V2_277,18801046879044,발주가능,0,세탁세제,1
2019-05-17,V2_279,18801046872762,발주가능,0,세탁세제,0
2019-05-17,V2_284,18801046871543,발주가능,0,F&B,0
2019-05-17,V2_285,18801046263461,발주가능,0,헤어케어,2
2019-05-17,V2_289,18801046294021,발주가능,0,덴탈케어,0
2019-05-17,V2_290,18801046298470,발주가능,0,덴탈케어,0
2019-05-17,V2_294,18801046280529,발주가능,0,세탁세제,0
2019-05-17,V2_299,18801046879037,발주가능,0,세탁세제,0
2019-05-17,V2_300,18801046319946,발주가능,0,주방세제,0
2019-05-17,V2_303,18801046979508,발주가능,0,주방세제,0
2019-05-17,V2_304,18801046979522,발주가능,0,주방세제,0
2019-05-17,V2_305,18801046892913,발주가능,0,주방세제,0
2019-05-17,V2_306,18801046303198,발주가능,0,주방세제,0
2019-05-17,V2_309,18801046295646,발주가능,0,주방세제,0
2019-05-17,V2_312,18801046248581,발주가능,0,주방세제,0
2019-05-17,V2_316,18801046879068,발주가능,0,세탁세제,0
2019-05-17,V2_318,18801046878931,발주가능,0,세탁세제,0
2019-05-17,V2_321,18801046286231,발주가능,0,세탁세제,0
2019-05-17,V2_323,18801046291228,발주가능,0,세탁세제,0
2019-05-17,V2_324,18801046303754,발주가능,0,주방세제,0
2019-05-17,V2_325,18801046903008,발주가능,0,주방세제,0
2019-05-17,V2_327,18801046303211,발주가능,0,주방세제,0
2019-05-17,V2_329,18801046303761,발주가능,0,주방세제,0
2019-05-17,V2_330,18801046314798,발주가능,0,ST,0
2019-05-17,V2_331,18801046314842,발주가능,0,ST,0
2019-05-17,V2_332,18801046314859,발주가능,0,ST,0
2019-05-17,V2_333,18801046314804,발주가능,0,ST,0
2019-05-17,V2_337,18801046314828,발주가능,0,ST,0
2019-05-17,V2_338,18801046314224,발주가능,0,ST,0
2019-05-17,V2_340,18801046299316,발주가능,0,덴탈케어,0
2019-05-17,V2_342,18801046277055,발주가능,0,헤어케어,0
2019-05-17,V2_343,18801046308575,발주가능,0,세탁세제,0
2019-05-17,V2_348,18801046318253,발주가능,0,세탁세제,0
2019-05-17,V2_350,18801046298647,발주가능,0,세탁세제,0
2019-05-17,V2_351,18801046318260,발주가능,0,세탁세제,0
2019-05-17,V2_355,18801046299361,발주가능,0,세탁세제,0
2019-05-17,V2_356,18801046319861,발주가능,0,세탁세제,0
2019-05-17,V2_359,18801046319267,발주가능,0,덴탈케어,0
2019-05-17,V2_363,18801046275730,발주가능,0,덴탈케어,0
2019-05-17,V2_373,18801046312695,발주가능,0,덴탈케어,0
2019-05-17,V2_374,18801046310370,발주가능,0,덴탈케어,0
2019-05-17,V2_377,18801046291518,발주가능,0,ST,0
2019-05-17,V2_378,18801046314248,발주가능,0,ST,0
2019-05-17,V2_379,18801046987657,발주가능,0,ST,0
2019-05-17,V2_382,18801046903381,발주가능,0,ST,0
2019-05-17,V2_383,18801046291587,발주가능,0,ST,0
2019-05-17,V2_384,18801046291563,발주가능,0,ST,0
2019-05-17,V2_386,18801046291556,발주가능,0,ST,0
2019-05-17,V2_387,18801046314835,발주가능,0,ST,0
2019-05-17,V2_390,18801046316228,발주가능,0,세탁세제,0
2019-05-17,V2_394,18801046322908,발주가능,0,덴탈케어,0
2019-05-17,V2_400,18801046281694,발주가능,0,덴탈케어,0
2019-05-17,V2_401,18801046288167,발주가능,0,덴탈케어,0
2019-05-17,V2_402,18801046315306,발주가능,0,덴탈케어,0
2019-05-17,V2_403,18801046322922,발주가능,0,덴탈케어,0
2019-05-17,V2_404,18801046316754,발주가능,0,덴탈케어,0
2019-05-17,V2_407,18801046292461,발주가능,0,덴탈케어,0
2019-05-17,V2_411,18801046902094,발주가능,0,헤어케어,0
2019-05-17,V2_414,18801046318437,발주가능,0,헤어케어,0
2019-05-17,V2_418,18801046263478,발주가능,8,헤어케어,0
2019-05-17,V2_419,18801046299767,발주가능,0,헤어케어,0
2019-05-17,V2_420,18801046299682,발주가능,0,헤어케어,0
2019-05-17,V2_421,18801046902223,발주가능,0,헤어케어,0
2019-05-17,V2_423,18801046263454,발주가능,0,헤어케어,0
2019-05-17,V2_425,18801046263423,발주가능,0,헤어케어,1
2019-05-17,V2_433,18801046284497,발주가능,0,덴탈케어,0
2019-05-17,V2_434,18801046299224,발주가능,0,덴탈케어,0
2019-05-17,V2_441,18801046261269,발주가능,0,덴탈케어,0
2019-05-17,V2_443,18801046253776,발주가능,0,세탁세제,2
2019-05-17,V2_444,18801046321598,발주가능,0,헤어케어,0
2019-05-17,V2_447,18801046886110,발주가능,0,헤어케어,0
2019-05-17,V2_450,18801046315252,발주가능,0,매입브랜드,0
2019-05-17,V2_452,18801046315238,발주가능,0,매입브랜드,0
2019-05-17,V2_453,18801046321604,발주가능,0,헤어케어,0
2019-05-17,V2_459,8801046316207,발주가능,0,세탁세제,0
2019-05-17,V2_460,8801046331439,발주가능,0,매입브랜드,0
2019-05-17,V2_463,8801046297780,발주가능,12,ST,0
2019-05-17,V2_465,8801046321171,발주가능,0,덴탈케어,0
2019-05-17,V2_470,18801046335212,발주가능,0,주방세제,0
2019-05-18,V2_2,8801046878934,발주가능,135,세탁세제,1
2019-05-18,V2_3,8801046878941,발주가능,0,세탁세제,4
2019-05-18,V2_4,8801046888858,발주가능,2176,덴탈케어,34
2019-05-18,V2_11,8801046879030,발주가능,0,세탁세제,2
2019-05-18,V2_12,8801046246559,발주가능,0,세탁세제,0
2019-05-18,V2_15,8801046247730,발주가능,0,세탁세제,32
2019-05-18,V2_16,8801046892916,발주가능,0,주방세제,2
2019-05-18,V2_17,8801046243541,발주가능,0,헤어케어,7
2019-05-18,V2_18,8801046240540,발주가능,80,헤어케어,10
2019-05-18,V2_23,8801046253779,발주가능,0,세탁세제,17
2019-05-18,V2_26,8801046879061,발주가능,0,세탁세제,4
2019-05-18,V2_30,8801046979532,발주가능,88,주방세제,62
2019-05-18,V2_32,8801046255575,발주가능,0,세탁세제,14
2019-05-18,V2_33,8801046900673,발주가능,0,헤어케어,30
2019-05-18,V2_36,8801046902028,발주가능,0,헤어케어,0
2019-05-18,V2_38,8801046902035,발주가능,0,헤어케어,0
2019-05-18,V2_40,8801046902110,발주가능,0,헤어케어,53
2019-05-18,V2_41,8801046900635,발주가능,64,헤어케어,10
2019-05-18,V2_44,8801046903384,발주가능,0,ST,1
2019-05-18,V2_47,8801046862421,발주가능,16,F&B,4
2019-05-18,V2_49,8801046871546,발주가능,0,F&B,6
2019-05-18,V2_54,8801046877920,발주가능,0,세탁세제,12
2019-05-18,V2_56,8801046255063,발주가능,0,덴탈케어,0
2019-05-18,V2_61,18801046260873,발주가능,0,세탁세제,0
2019-05-18,V2_62,18801046251512,발주가능,30,세탁세제,20
2019-05-18,V2_70,8801046277867,발주가능,114,기타,1
2019-05-18,V2_72,8801046257494,발주가능,0,덴탈케어,0
2019-05-18,V2_74,18801046247744,발주가능,0,세탁세제,46
2019-05-18,V2_75,18801046247751,발주가능,0,세탁세제,37
2019-05-18,V2_76,18801046893118,발주가능,0,세탁세제,11
2019-05-18,V2_77,18801046255565,발주가능,0,세탁세제,5
2019-05-18,V2_79,18801046269364,발주가능,0,세탁세제,1
2019-05-18,V2_82,8801046294024,발주가능,0,덴탈케어,34
2019-05-18,V2_83,8801046294031,발주가능,0,덴탈케어,11
2019-05-18,V2_84,8801046293133,발주가능,0,헤어케어,116
2019-05-18,V2_87,18801046294779,발주가능,0,세탁세제,57
2019-05-18,V2_89,8801046994399,발주가능,0,덴탈케어,0
2019-05-18,V2_91,8801046287743,발주가능,0,덴탈케어,0
2019-05-18,V2_98,8801046282175,발주가능,0,헤어케어,0
2019-05-18,V2_99,8801046284759,발주가능,0,헤어케어,0
2019-05-18,V2_101,8801046293768,발주가능,0,F&B,0
2019-05-18,V2_102,8801046293775,발주가능,0,F&B,1
2019-05-18,V2_103,8801046296837,발주가능,0,덴탈케어,44
2019-05-18,V2_106,8801046979501,발주가능,0,주방세제,4
2019-05-18,V2_107,8801046979525,발주가능,376,주방세제,5
